split,filename,niqe,brisque,piqe
val,0_1_part_001.mp4_frame_000012.jpg,3.9019,39.5598,31.9795
val,0_1_part_001.mp4_frame_000023.jpg,4.929,40.78,53.7544
val,0_1_part_001.mp4_frame_000043.jpg,5.1023,42.3981,57.1521
val,0_1_part_001.mp4_frame_000050.jpg,4.9055,41.5939,52.9629
val,0_1_part_001.mp4_frame_000062.jpg,4.6544,40.2565,45.4113
val,0_1_part_001.mp4_frame_000063.jpg,4.7195,40.3542,46.5071
val,0_1_part_001.mp4_frame_000114.jpg,6.392,52.3181,62.2638
val,0_1_part_001.mp4_frame_000121.jpg,6.2613,51.6667,63.2157
val,0_1_part_001.mp4_frame_000129.jpg,6.2792,52.7414,64.2304
val,0_1_part_001.mp4_frame_000133.jpg,6.4024,53.3317,66.6889
val,0_1_part_001.mp4_frame_000134.jpg,6.3108,53.028,65.966
val,0_1_part_001.mp4_frame_000149.jpg,6.3679,52.5202,66.3078
val,0_1_part_001.mp4_frame_000153.jpg,6.314,52.1657,67.1594
val,0_1_part_001.mp4_frame_000155.jpg,6.4048,52.5539,67.4452
val,0_1_part_001.mp4_frame_000170.jpg,5.555,47.1354,60.365
val,0_1_part_001.mp4_frame_000174.jpg,5.2235,45.5905,56.912
val,0_1_part_001.mp4_frame_000205.jpg,5.1734,44.8347,61.8886
val,0_1_part_001.mp4_frame_000215.jpg,4.6146,41.6569,50.9071
val,0_1_part_001.mp4_frame_000218.jpg,4.3011,40.0202,44.0379
val,0_1_part_001.mp4_frame_000230.jpg,4.2888,43.5554,46.3069
val,0_1_part_001.mp4_frame_000251.jpg,4.3347,43.9987,40.8047
val,0_1_part_001.mp4_frame_000255.jpg,4.247,43.8889,35.6365
val,0_1_part_001.mp4_frame_000268.jpg,3.8896,32.6384,36.1981
val,0_1_part_001.mp4_frame_000273.jpg,3.8547,30.3679,35.6595
val,0_1_part_001.mp4_frame_000299.jpg,3.7809,32.8234,38.21
val,0_1_part_001.mp4_frame_000302.jpg,3.8897,34.8898,42.9644
val,0_1_part_001.mp4_frame_000304.jpg,3.8437,35.8058,44.3838
val,0_1_part_001.mp4_frame_000308.jpg,4.0276,37.1608,46.4042
val,0_1_part_001.mp4_frame_000309.jpg,4.0261,37.6569,46.8642
val,0_1_part_001.mp4_frame_000320.jpg,4.4039,39.4724,46.6836
val,0_1_part_001.mp4_frame_000322.jpg,4.4718,39.591,47.6085
val,0_1_part_001.mp4_frame_000343.jpg,4.3995,38.7892,52.6171
val,0_1_part_001.mp4_frame_000346.jpg,4.3789,39.7761,50.6184
val,0_1_part_001.mp4_frame_000356.jpg,3.8694,34.2307,44.2053
val,0_1_part_001.mp4_frame_000358.jpg,3.7975,33.6906,43.9112
val,0_1_part_001.mp4_frame_000371.jpg,3.8609,32.506,46.2359
val,0_1_part_001.mp4_frame_000391.jpg,3.7507,32.2761,42.8395
val,0_1_part_001.mp4_frame_000407.jpg,4.0205,34.1501,43.3536
val,0_1_part_001.mp4_frame_000421.jpg,3.775,32.6721,39.8091
val,0_1_part_001.mp4_frame_000427.jpg,3.8696,33.383,40.6327
val,0_1_part_001.mp4_frame_000428.jpg,3.7596,33.7433,41.1475
val,0_1_part_001.mp4_frame_000429.jpg,3.7503,33.7331,42.0283
val,0_1_part_001.mp4_frame_000430.jpg,3.7828,33.9684,41.652
val,0_1_part_001.mp4_frame_000436.jpg,3.8895,34.3039,40.1206
val,0_1_part_001.mp4_frame_000448.jpg,3.8543,28.1105,40.9681
val,0_1_part_001.mp4_frame_000460.jpg,3.8618,25.6979,41.2243
val,0_1_part_001.mp4_frame_000466.jpg,3.8314,25.3449,40.5235
val,0_1_part_001.mp4_frame_000491.jpg,4.2328,26.2619,41.2504
val,0_1_part_001.mp4_frame_000498.jpg,4.0751,25.1574,37.9538
val,0_1_part_001.mp4_frame_000506.jpg,4.3815,26.3806,38.7182
val,0_1_part_001.mp4_frame_000514.jpg,4.4543,29.405,42.7424
val,0_1_part_001.mp4_frame_000516.jpg,4.7831,36.2057,43.734
val,0_1_part_001.mp4_frame_000517.jpg,4.7989,38.4675,43.885
val,0_1_part_001.mp4_frame_000538.jpg,4.6131,38.8366,48.7964
val,0_1_part_001.mp4_frame_000539.jpg,4.6717,39.4533,51.1086
val,0_1_part_001.mp4_frame_000549.jpg,4.3846,34.3034,47.7589
val,0_1_part_001.mp4_frame_000553.jpg,4.414,32.7453,49.9358
val,0_1_part_001.mp4_frame_000554.jpg,4.4607,32.3679,47.3953
val,0_1_part_001.mp4_frame_000559.jpg,4.508,33.111,48.3058
val,0_1_part_001.mp4_frame_000570.jpg,4.4263,34.5202,52.7528
val,0_1_part_002.mp4_frame_000006.jpg,4.1291,44.1789,42.6816
val,0_1_part_002.mp4_frame_000018.jpg,4.3191,43.466,39.9257
val,0_1_part_002.mp4_frame_000023.jpg,4.3956,44.4289,32.178
val,0_1_part_002.mp4_frame_000041.jpg,6.9237,60.381,67.1833
val,0_1_part_002.mp4_frame_000044.jpg,7.6557,64.5974,68.7302
val,0_1_part_002.mp4_frame_000048.jpg,7.4652,62.2878,70.3848
val,0_1_part_002.mp4_frame_000053.jpg,7.3909,61.5422,73.846
val,0_1_part_002.mp4_frame_000060.jpg,7.5107,61.3371,65.4431
val,0_1_part_002.mp4_frame_000065.jpg,7.2379,59.2795,65.2488
val,0_1_part_002.mp4_frame_000077.jpg,7.6342,61.7111,70.9103
val,0_1_part_002.mp4_frame_000083.jpg,8.2513,62.9982,63.0647
val,0_1_part_002.mp4_frame_000084_negative.jpg,8.7421,64.8889,70.1527
val,0_1_part_002.mp4_frame_000106_negative.jpg,8.0068,60.4421,72.6203
val,0_1_part_002.mp4_frame_000111_negative.jpg,7.527,59.1799,69.8618
val,0_1_part_002.mp4_frame_000115_negative.jpg,7.357,57.9328,61.3317
val,0_1_part_002.mp4_frame_000154.jpg,6.7814,58.2497,66.154
val,0_1_part_002.mp4_frame_000155.jpg,7.0537,59.6808,69.3966
val,0_1_part_002.mp4_frame_000166.jpg,6.7223,59.0729,65.3349
val,0_1_part_002.mp4_frame_000167.jpg,6.8965,60.3283,68.5863
val,0_1_part_002.mp4_frame_000190.jpg,6.8518,59.1691,67.0678
val,0_1_part_002.mp4_frame_000194.jpg,7.0047,60.4064,69.9932
val,0_1_part_002.mp4_frame_000207.jpg,8.0632,57.4313,66.602
val,0_1_part_002.mp4_frame_000211.jpg,8.0767,55.6242,51.859
val,0_1_part_002.mp4_frame_000212.jpg,8.0935,55.5593,58.0697
val,0_1_part_002.mp4_frame_000227_negative.jpg,8.0963,59.3806,67.4085
val,0_1_part_002.mp4_frame_000229_negative.jpg,8.0772,59.3625,63.7419
val,0_1_part_002.mp4_frame_000244_negative.jpg,7.0969,53.779,62.9584
val,0_1_part_002.mp4_frame_000263.jpg,4.8504,36.613,50.3623
val,0_1_part_002.mp4_frame_000265.jpg,4.7108,35.9133,46.4258
val,0_1_part_002.mp4_frame_000283.jpg,4.5678,34.6154,43.3269
val,0_1_part_002.mp4_frame_000300.jpg,4.5882,34.3459,44.2987
val,0_1_part_002.mp4_frame_000302.jpg,4.598,33.8078,44.3655
val,0_1_part_002.mp4_frame_000303.jpg,4.5388,33.9494,45.1897
val,0_1_part_002.mp4_frame_000309.jpg,4.6519,33.9304,45.7462
val,0_1_part_002.mp4_frame_000316.jpg,4.5488,33.9846,44.8647
val,0_1_part_002.mp4_frame_000324.jpg,4.6722,35.1271,48.4853
val,0_1_part_002.mp4_frame_000326.jpg,4.5977,34.6481,45.2174
val,0_1_part_002.mp4_frame_000347.jpg,4.7478,35.1579,46.0524
val,0_1_part_002.mp4_frame_000348.jpg,4.7318,35.2639,47.5097
val,0_1_part_002.mp4_frame_000357.jpg,4.6421,34.3522,44.2566
val,0_1_part_002.mp4_frame_000359.jpg,4.7028,34.382,43.7148
val,0_1_part_002.mp4_frame_000367.jpg,4.5712,34.4025,43.0585
val,0_1_part_002.mp4_frame_000371.jpg,4.5423,34.5324,44.3535
val,0_1_part_002.mp4_frame_000414.jpg,4.5663,34.8976,43.4659
val,0_1_part_002.mp4_frame_000416.jpg,4.5814,35.1931,44.7269
val,0_1_part_002.mp4_frame_000417.jpg,4.6545,35.1691,43.7035
val,0_1_part_002.mp4_frame_000428.jpg,4.6433,35.593,45.9723
val,0_1_part_002.mp4_frame_000435.jpg,4.6059,35.7595,45.1039
val,0_1_part_002.mp4_frame_000437.jpg,4.5521,34.9606,44.7211
val,0_1_part_002.mp4_frame_000447.jpg,4.5861,35.8068,45.5142
val,0_1_part_002.mp4_frame_000449.jpg,4.5582,35.7385,44.8232
val,0_1_part_002.mp4_frame_000454.jpg,4.6159,36.0837,45.8426
val,0_1_part_002.mp4_frame_000462.jpg,4.4728,33.8605,42.7864
val,0_1_part_002.mp4_frame_000472.jpg,4.4377,34.6442,43.5235
val,0_1_part_002.mp4_frame_000474.jpg,4.4509,34.1613,43.7666
val,0_1_part_002.mp4_frame_000480.jpg,4.5254,34.4704,44.7419
val,0_1_part_002.mp4_frame_000481.jpg,4.5589,34.8166,44.8926
val,0_1_part_002.mp4_frame_000492.jpg,4.5816,35.1994,45.8935
val,0_1_part_002.mp4_frame_000495.jpg,4.6078,35.0612,47.1261
val,0_1_part_002.mp4_frame_000498.jpg,4.5624,34.7082,45.287
val,0_1_part_002.mp4_frame_000520.jpg,4.6114,34.7097,50.2612
